"",h,rel,t
0,concept:geolocatablething,is_A,concept:everypromotedthing
1,concept:oilgasfield,is_A,concept:visualizablescene
2,concept:oilgasfield,is_A,concept:geolocatablething
3,concept:televisionstation,is_A,concept:mediacompany
4,concept:televisionstation,is_A,concept:geolocatablething
5,concept:river,is_A,concept:location
6,concept:river,is_A,concept:geolocatablething
7,concept:park,is_A,concept:attraction
8,concept:park,is_A,concept:geolocatablething
9,concept:university,is_A,concept:school
10,concept:university,is_A,concept:geolocatablething
11,concept:stateorprovince,is_A,concept:geopoliticallocation
12,concept:stateorprovince,is_A,concept:geopoliticalorganization
13,concept:stateorprovince,is_A,concept:geolocatablething
14,concept:building,is_A,concept:location
15,concept:building,is_A,concept:geolocatablething
16,concept:skyscraper,is_A,concept:building
17,concept:hotel,is_A,concept:building
18,concept:airport,is_A,concept:building
19,concept:bridge,is_A,concept:building
20,concept:shoppingmall,is_A,concept:building
21,concept:restaurant,is_A,concept:building
22,concept:retailstore,is_A,concept:building
23,concept:trainstation,is_A,concept:building
24,concept:monument,is_A,concept:building
25,concept:monument,is_A,concept:attraction
26,concept:stadiumoreventvenue,is_A,concept:building
27,concept:stadiumoreventvenue,is_A,concept:attraction
28,concept:placeofworship,is_A,concept:building
29,concept:museum,is_A,concept:building
30,concept:museum,is_A,concept:attraction
31,concept:hospital,is_A,concept:building
32,concept:city,is_A,concept:geopoliticallocation
33,concept:city,is_A,concept:geopoliticalorganization
34,concept:city,is_A,concept:visualizablescene
35,concept:city,is_A,concept:geolocatablething
36,concept:lake,is_A,concept:location
37,concept:lake,is_A,concept:geolocatablething
38,concept:country,is_A,concept:geopoliticallocation
39,concept:country,is_A,concept:geopoliticalorganization
40,concept:country,is_A,concept:geolocatablething
41,concept:sportsteam,is_A,concept:organization
42,concept:sportsteam,is_A,concept:geolocatablething
43,concept:mountain,is_A,concept:location
44,concept:mountain,is_A,concept:geolocatablething
45,concept:radiostation,is_A,concept:mediacompany
46,concept:radiostation,is_A,concept:geolocatablething
47,concept:street,is_A,concept:location
48,concept:street,is_A,concept:geolocatablething
49,concept:visualizablething,is_A,concept:everypromotedthing
50,concept:visualizablescene,is_A,concept:visualizablething
51,concept:landscapefeatures,is_A,concept:location
52,concept:landscapefeatures,is_A,concept:visualizablescene
53,concept:visualizableattribute,is_A,concept:visualizablething
