394_NGR_c24630	activation	394_NGR_c18610	0.19200003
882_DVU0110	activation	882_DVU0945	0.11199999
882_DVU0258	activation	882_DVU1431	0.49600005
882_DVU0946	activation	882_DVU0945	0.11100006
882_DVU0258	activation	882_DVU0355	0.12299991
882_DVU0258	activation	882_DVU0408	0.12299991
882_DVU0258	activation	882_DVU0717	0.12299991
882_DVU0258	activation	882_DVU3022	0.12299991
882_DVU0258	activation	882_DVU1805	0.12299991
882_DVU0258	activation	882_DVU1862	0.12299991
882_DVU0258	activation	882_DVU2412	0.12299991
882_DVU0258	activation	882_DVU0022	0.12299991
882_DVU0258	activation	882_DVU0081	0.12299991
882_DVU0258	activation	882_DVU1628	0.15600002
882_DVU0258	activation	882_DVU3228	0.14499998
882_DVU1063	activation	882_DVU3382	0.11100006
882_DVU1063	activation	882_DVU0680	0.11199999
882_DVU0539	activation	882_DVU0945	0.11199999
882_DVU0981	activation	882_DVU1630	0.03999996
882_DVU0946	activation	882_DVU3382	0.11199999
882_DVU0258	activation	882_DVU2962	0.12299991
882_DVU0110	activation	882_DVU3382	0.12899995
882_DVU0258	activation	882_DVU3106	0.12299991
882_DVU0258	activation	882_DVU2677	0.12299991
882_DVU0258	activation	882_DVU3064	0.12299991
882_DVU0110	activation	882_DVU0680	0.11199999
882_DVU0110	activation	882_DVU1418	0.12899995
882_DVU0258	activation	882_DVU2079	0.12299991
882_DVU0258	activation	882_DVU2076	0.12299991
882_DVU0258	activation	882_DVU2281	0.12299991
882_DVU0258	activation	882_DVU2679	0.12299991
882_DVU0946	activation	882_DVU1418	0.11199999
882_DVU0946	activation	882_DVU0680	0.11100006
882_DVU2394	activation	882_DVU0945	0.11100006
882_DVU3305	activation	882_DVU0945	0.11100006
882_DVU0744	activation	882_DVU0945	0.11100006
882_DVU1419	activation	882_DVU0945	0.11100006
882_DVU2934	activation	882_DVU0945	0.11100006
882_DVU0539	activation	882_DVU3382	0.11100006
882_DVU0258	activation	882_DVU1418	0.042000055
882_DVU0258	activation	882_DVU0680	0.04100001
882_DVU0539	activation	882_DVU0680	0.11199999
882_DVU0258	activation	882_DVU0119	0.042000055
882_DVU0258	activation	882_DVU3382	0.042000055
882_DVU3220	activation	882_DVU0945	0.11100006
882_DVU3381	activation	882_DVU0945	0.11199999
882_DVU3334	activation	882_DVU0945	0.11100006
882_DVU0981	activation	882_DVU0829	0.778
882_DVU0981	activation	882_DVU0830	0.77400005
882_DVU2934	activation	882_DVU0680	0.11199999
882_DVU2934	activation	882_DVU1418	0.11100006
882_DVU3305	activation	882_DVU3382	0.11100006
882_DVU2114	activation	882_DVU0680	0.11199999
882_DVU0744	activation	882_DVU1418	0.11100006
882_DVU0744	activation	882_DVU0680	0.11100006
882_DVU0744	activation	882_DVU3382	0.11199999
882_DVU1419	activation	882_DVU3382	0.12899995
882_DVU0013	activation	882_DVU1884	0.16400003
882_DVU2934	activation	882_DVU3382	0.12899995
882_DVU2114	activation	882_DVU3382	0.12899995
882_DVU1419	activation	882_DVU1418	0.12899995
882_DVU1419	activation	882_DVU0680	0.11199999
882_DVU0183	activation	882_DVU0652	0.6960001
882_DVU0183	activation	882_DVU0992	0.6960001
882_DVU0183	activation	882_DVU1427	0.35899997
882_DVU0183	activation	882_DVU2073	0.35899997
882_DVU0129	activation	882_DVU0945	0.21799994
882_DVU0129	activation	882_DVU0652	0.362
882_DVU0129	activation	882_DVU0992	0.362
882_DVU0183	activation	882_DVU0056	0.6960001
882_DVU0183	activation	882_DVU0449	0.49399996
882_DVU2587	activation	882_DVU0992	0.26399994
882_DVU2587	activation	882_DVU0652	0.26399994
882_DVU0056	activation	882_DVU0013	0.17200005
882_DVU0645	activation	882_DVU0592	0.464
882_DVU2587	activation	882_DVU1593	0.116999984
882_DVU0056	activation	882_DVU0183	0.6960001
882_DVU0056	activation	882_DVU0018	0.6960001
882_DVU2587	activation	882_DVU1427	0.116999984
882_DVU2587	activation	882_DVU1431	0.085999966
882_DVU0645	activation	882_DVU0652	0.6960001
882_DVU0645	activation	882_DVU0992	0.6960001
882_DVU0645	activation	882_DVU1593	0.35899997
882_DVU0056	activation	882_DVU0591	0.6960001
882_DVU0056	activation	882_DVU0449	0.538
882_DVU2587	activation	882_DVU2073	0.116999984
882_DVU0013	activation	882_DVU1083	0.444
882_DVU0013	activation	882_DVU0945	0.15400004
882_DVU2587	activation	882_DVU0138	0.116999984
882_DVU0645	activation	882_DVU0056	0.6960001
882_DVU0018	activation	882_DVU0992	0.6960001
882_DVU0018	activation	882_DVU1593	0.35899997
882_DVU0056	activation	882_DVU1431	0.65
882_DVU0018	activation	882_DVU0652	0.69499993
882_DVU0018	activation	882_DVU1427	0.35899997
882_DVU0018	activation	882_DVU2073	0.35899997
882_DVU0056	activation	882_DVU1594	0.9
